Gender,Months,Growth_rate,BMI_Level,PCT,Quantile,Weight,Protein_Mass,Mineral_Mass,Soft_Lean_Mass,Body_Fat_Mass,Skeletal_Muscle_Mass,BMR,Student_ID,Age,Target_Age,Target_Months,Height,Target_Height,PW,MW,SW,BW,SMW,SS,BS,Ages,Target_Ages,nobs
1,97,0.048414023372287174,1.0,3.0,0.5801930275146095,28.0,4.5,1.6,21.8,5.0,11.7,868.0,24667.0,8.0,9.0,110.0,129.4,136.7,0.1617647058823529,0.055813953488372,0.779467680608365,0.1785714285714285,0.4150197628458498,0.5365853658536586,0.2336448598130841,8.0,9.0,3691
1,98,0.0627802690582957,1.0,3.0,0.5447053064272673,28.3,4.5,1.6,21.7,5.0,11.6,866.0,18968.0,8.0,9.0,113.0,129.4,138.5,0.1604938271604938,0.0551470588235294,0.7731629392971245,0.1838235294117647,0.4122137404580153,0.5373831775700935,0.238095238095238,8.0,9.0,31521
1,99,0.06192305507427498,1.0,3.0,0.5318444474843972,28.4,4.5,1.6,21.9,5.0,11.8,870.0,11778.5,8.0,9.0,117.0,129.7,138.8,0.1605839416058394,0.0550161812297734,0.7708978328173375,0.1857585139318885,0.4129793510324483,0.5384615384615384,0.2403846153846153,8.0,9.0,17242
1,100,0.06294608070986141,1.0,3.0,0.5492690386910972,29.1,4.6,1.6,22.0,6.0,11.9,874.0,14640.0,8.0,9.0,118.0,130.4,139.6,0.1581027667984189,0.0547945205479452,0.7596566523605149,0.1976284584980237,0.4065573770491803,0.5394736842105263,0.2617801047120419,8.0,9.0,17908
1,101,0.06891385767790248,1.0,3.0,0.5440306493818554,29.6,4.6,1.6,22.2,6.0,12.0,879.0,14528.0,8.0,9.0,119.0,130.8,140.5,0.156794425087108,0.0545454545454545,0.7535714285714287,0.2040816326530612,0.4039735099337748,0.5401785714285714,0.2702702702702703,8.0,9.0,26617
1,102,0.057037037037037,1.0,2.0,0.4339820506355499,28.3,4.6,1.6,22.1,5.0,11.9,874.0,8993.0,8.0,9.0,117.0,129.8,138.8,0.1621621621621621,0.0561403508771929,0.7798507462686567,0.1779359430604982,0.4175824175824176,0.5391705069124424,0.2262443438914027,8.0,9.0,2061
1,103,0.07280832095096601,1.0,3.0,0.5425004735131388,30.0,4.7,1.7,22.5,6.0,12.2,887.0,9470.0,8.0,10.0,123.0,131.7,141.9,0.1568627450980391,0.0547112462006079,0.7530864197530864,0.2033898305084746,0.4056939501779359,0.5407725321888411,0.2714932126696832,8.0,10.0,6995
1,104,0.07957957957957973,1.0,2.0,0.4481203842842443,29.7,4.7,1.6,22.5,6.0,12.1,884.0,8987.0,8.0,10.0,126.0,130.9,141.9,0.1570247933884297,0.0545454545454545,0.756198347107438,0.1993355481727574,0.405857740585774,0.5404255319148936,0.2659574468085106,8.0,10.0,2811
1,105,0.05598159509202438,1.0,3.0,0.5483883248659995,30.0,4.8,1.7,22.9,6.0,12.5,895.0,14102.0,8.0,10.0,120.0,132.7,141.0,0.1593220338983051,0.0555555555555555,0.7649122807017544,0.1923076923076923,0.411764705882353,0.5427350427350427,0.2510460251046025,8.0,10.0,14121
1,106,0.05729564553093969,1.0,3.0,0.55864228522763,31.4,4.9,1.7,23.4,6.0,12.8,906.0,18562.0,8.0,10.0,122.0,133.3,141.7,0.1565217391304348,0.0544041450777202,0.7514619883040935,0.204778156996587,0.4069148936170212,0.5442477876106194,0.2727272727272727,8.0,10.0,17949
